,time,elapse,source,from,ip,grade,category,factor,spending,surkind
1,2024/12/4 21:02:36,91秒,手机提交,直接访问,61.185.198.201(陕西-西安),大二,教材/书籍/文具┋食品,使用频率/占据的空间┋价格/性价比┋打动你的新颖独特之处,100元以内,1
2,2024/12/4 21:06:11,78秒,微信,,61.185.207.99(陕西-西安),大二,电子产品┋食品┋文创产品/动画、漫画、游戏周边,价格/性价比┋优惠/包邮活动┋打动你的新颖独特之处,200元以上,1
3,2024/12/4 21:07:06,26秒,微信,,111.18.39.85(陕西-西安),大二,服装首饰┋食品,使用频率/占据的空间┋价格/性价比,100至200元,1
4,2024/12/4 21:07:29,28秒,微信,,113.200.174.124(陕西-西安),大二,教材/书籍/文具┋电子产品┋食品,使用频率/占据的空间┋价格/性价比,100元以内,1
5,2024/12/4 21:07:54,22秒,微信,,223.104.202.246(陕西-咸阳),大一,教材/书籍/文具┋服装首饰┋电子产品┋食品┋医疗用品,价格/性价比┋打动你的新颖独特之处,200元以上,1
6,2024/12/4 21:11:32,24秒,手机提交,直接访问,222.90.96.226(陕西-西安),大二,服装首饰,打动你的新颖独特之处,200元以上,1
7,2024/12/4 21:15:52,17秒,微信,,222.90.96.240(陕西-西安),大二,教材/书籍/文具┋服装首饰┋食品┋医疗用品┋文创产品/动画、漫画、游戏周边,产品及包装是否环保┋价格/性价比┋优惠/包邮活动┋打动你的新颖独特之处,100至200元,1
8,2024/12/4 21:16:59,14秒,手机提交,直接访问,61.185.207.111(陕西-西安),大二,电子产品,价格/性价比,200元以上,1
9,2024/12/4 21:41:52,24秒,微信,,36.40.210.39(陕西-商洛),大二,服装首饰┋食品,价格/性价比┋优惠/包邮活动┋打动你的新颖独特之处,100至200元,1
10,2024/12/4 23:17:42,15秒,微信,,36.44.139.48(陕西-西安),大二,服装首饰┋电子产品┋食品┋医疗用品┋文创产品/动画、漫画、游戏周边,产品及包装是否环保┋使用频率/占据的空间┋价格/性价比┋广告推荐┋优惠/包邮活动,200元以上,1
11,2024/12/4 22:04:05,35秒,微信,,124.114.148.35(陕西-西安),大二,食品┋电子产品┋文创产品/动画、漫画、游戏周边,使用频率/占据的空间┋优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100至200元,2
12,2024/12/4 22:06:10,29秒,微信,,211.137.203.60(山东-济南),大二,电子产品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具,使用频率/占据的空间┋优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100元以内,2
13,2024/12/4 22:06:16,16秒,微信,,111.41.128.123(黑龙江-哈尔滨),大二,食品┋电子产品┋服装首饰,使用频率/占据的空间┋优惠/包邮活动┋打动你的新颖独特之处,100元以内,2
14,2024/12/4 22:07:18,29秒,微信,,144.12.160.25(山东-聊城),大二,食品┋电子产品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具┋服装首饰,使用频率/占据的空间┋打动你的新颖独特之处┋价格/性价比,200元以上,2
15,2024/12/4 22:11:11,26秒,手机提交,直接访问,39.144.110.216(山东-临沂),大二,食品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具,优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100元以内,2
16,2024/12/4 22:15:32,22秒,手机提交,直接访问,112.224.187.216(山东-淄博),大二,食品┋电子产品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具,使用频率/占据的空间┋价格/性价比,100至200元,2
17,2024/12/4 22:39:19,27秒,微信,,1.85.46.205(陕西-西安),大二,食品┋教材/书籍/文具┋服装首饰,使用频率/占据的空间┋打动你的新颖独特之处┋价格/性价比,100至200元,2
18,2024/12/4 22:42:17,28秒,微信,,117.136.50.200(陕西-西安),大二,食品┋电子产品┋服装首饰,优惠/包邮活动┋打动你的新颖独特之处,200元以上,2
19,2024/12/4 22:47:22,27秒,微信,,223.104.189.220(山东-青岛),大二,食品┋服装首饰┋医疗用品,优惠/包邮活动┋打动你的新颖独特之处┋广告推荐┋价格/性价比,100至200元,2
20,2024/12/4 22:51:28,30秒,微信,,123.138.70.190(陕西-西安),大二,食品┋教材/书籍/文具┋服装首饰,使用频率/占据的空间┋优惠/包邮活动┋价格/性价比,100至200元,2
21,2024/12/4 22:55:25,98秒,微信,,222.90.96.227(陕西-西安),大二,食品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具┋服装首饰,使用频率/占据的空间┋打动你的新颖独特之处┋价格/性价比,200元以上,2
22,2024/12/4 23:05:54,15秒,微信,,42.84.233.148(辽宁-大连),大二,食品┋电子产品┋医疗用品,使用频率/占据的空间┋优惠/包邮活动┋价格/性价比,100至200元,2
23,2024/12/4 23:14:55,15秒,手机提交,直接访问,112.9.243.57(山东-青岛),大二,食品┋文创产品/动画、漫画、游戏周边,打动你的新颖独特之处┋价格/性价比,100元以内,2
24,2024/12/5 0:27:36,19秒,手机提交,直接访问,112.6.206.140(山东-青岛),大二,食品┋电子产品┋文创产品/动画、漫画、游戏周边┋服装首饰┋医疗用品,使用频率/占据的空间┋优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100元以内,2
25,2024/12/5 0:51:06,18秒,手机提交,直接访问,223.104.43.30(北京-北京),大二,食品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具,使用频率/占据的空间┋打动你的新颖独特之处┋价格/性价比,100至200元,2
26,2024/12/5 7:17:37,48秒,微信,,111.17.24.188(山东-泰安),大二,教材/书籍/文具,使用频率/占据的空间,100元以内,2
27,2024/12/5 7:29:15,34秒,手机提交,直接访问,112.224.166.214(山东-青岛),大二,食品┋电子产品┋服装首饰,优惠/包邮活动┋价格/性价比,100元以内,2
28,2024/12/5 10:33:56,71秒,微信,,106.84.150.195(重庆-重庆),大二,服装首饰,使用频率/占据的空间┋打动你的新颖独特之处┋价格/性价比,200元以上,2
29,2024/12/5 12:16:46,23秒,手机提交,直接访问,39.144.109.186(山东-聊城),大二,食品┋电子产品┋教材/书籍/文具,价格/性价比,100元以内,2
30,2024/12/5 13:04:20,26秒,微信,,124.127.66.101(北京-北京),大二,食品┋文创产品/动画、漫画、游戏周边┋教材/书籍/文具,使用频率/占据的空间,200元以上,2
31,2024/12/5 22:24:09,22秒,微信,,175.167.155.121(辽宁-沈阳),大二,食品┋教材/书籍/文具┋服装首饰,使用频率/占据的空间┋优惠/包邮活动┋打动你的新颖独特之处┋广告推荐┋价格/性价比,100元以内,2
32,2024/12/4 21:22:48,32秒,微信,,36.40.209.79(陕西-商洛),大二,文创产品/动画、漫画、游戏周边┋食品┋服装首饰┋电子产品,价格/性价比┋广告推荐┋打动你的新颖独特之处,200元以上,3
33,2024/12/4 21:23:26,14秒,微信,,1.85.201.133(陕西-西安),大二,电子产品,价格/性价比┋产品及包装是否环保┋使用频率/占据的空间,200元以上,3
34,2024/12/4 21:24:26,22秒,微信,,36.45.253.82(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋教材/书籍/文具,价格/性价比,200元以上,3
35,2024/12/4 21:26:05,105秒,微信,,61.185.207.93(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋食品┋电子产品,价格/性价比┋产品及包装是否环保┋优惠/包邮活动┋打动你的新颖独特之处┋使用频率/占据的空间,200元以上,3
36,2024/12/4 21:30:45,17秒,微信,,106.44.62.121(陕西-西安),大二,医疗用品┋食品┋电子产品┋教材/书籍/文具,价格/性价比,100元以内,3
37,2024/12/4 21:35:29,29秒,微信,,1.183.154.62(内蒙古-鄂尔多斯),研究生,食品┋服装首饰,价格/性价比┋优惠/包邮活动┋打动你的新颖独特之处,200元以上,3
38,2024/12/4 21:38:09,28秒,微信,,124.89.2.92(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋食品┋电子产品,价格/性价比┋广告推荐┋优惠/包邮活动┋打动你的新颖独特之处┋使用频率/占据的空间,200元以上,3
39,2024/12/4 21:38:09,28秒,微信,,36.40.160.5(陕西-延安),大二,食品┋服装首饰┋教材/书籍/文具,价格/性价比┋产品及包装是否环保┋优惠/包邮活动,100至200元,3
40,2024/12/4 21:52:44,14秒,微信,,61.134.63.211(陕西-榆林),大二,食品┋电子产品,价格/性价比,100至200元,3
41,2024/12/4 22:51:38,43秒,微信,,106.84.208.40(重庆-重庆),大二,电子产品,打动你的新颖独特之处,200元以上,3
42,2024/12/4 23:20:42,20秒,微信,,123.139.60.157(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋医疗用品┋食品┋服装首饰┋电子产品,价格/性价比┋广告推荐,200元以上,3
43,2024/12/5 0:02:23,14秒,微信,,123.139.134.122(陕西-西安),大二,食品┋电子产品,价格/性价比┋打动你的新颖独特之处,100元以内,3
44,2024/12/5 0:37:27,44秒,微信,,117.22.124.145(陕西-西安),大二,食品┋服装首饰┋电子产品,价格/性价比┋打动你的新颖独特之处,200元以上,3
45,2024/12/5 8:07:01,20秒,微信,,223.104.119.106(湖北-咸宁),大二,食品┋电子产品,价格/性价比┋打动你的新颖独特之处,100元以内,3
46,2024/12/5 10:33:08,9秒,微信,,61.185.198.205(陕西-西安),大三,食品┋电子产品┋教材/书籍/文具,产品及包装是否环保┋打动你的新颖独特之处,100至200元,3
47,2024/12/4 21:25:17,25秒,微信,,124.88.0.69(新疆-乌鲁木齐),大二,食品,价格/性价比┋优惠/包邮活动,200元以上,4
48,2024/12/4 22:12:33,12秒,手机提交,直接访问,113.140.3.71(陕西-西安),大三,电子产品┋文创产品/动画、漫画、游戏周边,价格/性价比,200元以上,4
49,2024/12/4 22:12:54,22秒,手机提交,直接访问,113.201.75.155(陕西-渭南),研究生,食品┋服装首饰,使用频率/占据的空间┋优惠/包邮活动,200元以上,4
50,2024/12/4 22:12:57,16秒,手机提交,直接访问,1.86.21.80(陕西-西安),大一,食品┋服装首饰,价格/性价比┋打动你的新颖独特之处┋优惠/包邮活动,100至200元,4
51,2024/12/4 22:12:59,30秒,手机提交,直接访问,61.150.43.33(陕西-西安),大三,电子产品┋食品┋教材/书籍/文具,广告推荐┋价格/性价比┋优惠/包邮活动,100至200元,4
52,2024/12/4 22:13:33,29秒,手机提交,直接访问,123.138.183.36(陕西-西安),大二,食品┋教材/书籍/文具┋服装首饰,价格/性价比,200元以上,4
53,2024/12/4 22:13:34,20秒,手机提交,直接访问,113.140.3.84(陕西-西安),大一,食品┋服装首饰,价格/性价比┋使用频率/占据的空间,200元以上,4
54,2024/12/4 22:15:44,19秒,手机提交,直接访问,223.104.204.38(陕西-西安),大二,电子产品┋食品,价格/性价比┋打动你的新颖独特之处,200元以上,4
55,2024/12/4 22:20:03,82秒,手机提交,直接访问,36.45.22.54(陕西-西安),大四,电子产品┋食品┋教材/书籍/文具┋服装首饰,广告推荐┋价格/性价比┋优惠/包邮活动,200元以上,4
56,2024/12/4 22:20:11,21秒,微信,,120.244.222.146(北京-北京),大二,电子产品┋食品┋教材/书籍/文具┋医疗用品┋文创产品/动画、漫画、游戏周边,打动你的新颖独特之处┋使用频率/占据的空间,200元以上,4
