,1,2,3,4,5,6
1,1,0,0,1,0,0
2,0,0,1,1,0,1
3,0,1,0,1,0,0
4,1,0,1,1,0,0
5,1,1,1,1,1,0
6,0,1,0,0,0,0
7,1,1,0,1,1,1
8,0,0,1,0,0,0
9,0,1,0,1,0,0
10,0,1,1,1,1,1
11,0,0,1,1,0,1
12,1,0,1,0,0,1
13,0,1,1,1,0,0
14,1,1,1,1,0,1
15,1,0,0,1,0,1
16,1,0,1,1,0,1
17,1,1,0,1,0,0
18,0,1,1,1,0,0
19,0,1,0,1,1,0
20,1,1,0,1,0,0
21,1,1,0,1,0,1
22,0,0,1,1,1,0
23,0,0,0,1,0,1
24,0,1,1,1,1,1
25,1,0,0,1,0,1
26,1,0,0,0,0,0
27,0,1,1,1,0,0
28,0,1,0,0,0,0
29,1,0,1,1,0,0
30,1,0,0,1,0,1
31,1,1,0,1,0,0
32,0,1,1,1,0,1
33,0,0,1,0,0,0
34,1,0,0,0,0,1
35,0,0,1,1,0,1
36,1,0,1,1,1,0
37,0,1,0,1,0,0
38,0,0,1,1,0,1
39,1,1,0,1,0,0
40,0,0,1,1,0,0
41,0,0,1,0,0,0
42,0,1,1,1,1,1
43,0,0,1,1,0,0
44,0,1,1,1,0,0
45,0,0,1,1,0,0
46,1,0,1,1,0,0
47,0,0,0,1,0,0
48,0,0,1,0,0,1
49,0,1,0,1,0,0
50,0,1,0,1,0,0
51,1,0,1,1,0,0
52,1,1,0,1,0,0
53,0,1,0,1,0,0
54,0,0,1,1,0,0
55,1,1,1,1,0,0
56,1,0,1,1,1,1
57,0,0,1,0,0,0
58,1,1,1,1,0,0
59,1,1,0,0,0,0
60,0,0,0,1,0,0
61,1,0,0,1,0,0
62,0,1,0,1,0,1
63,0,1,0,0,0,1
64,1,1,1,1,0,0
65,0,1,1,1,0,0
66,1,0,1,0,0,1
67,0,1,0,1,0,0
68,1,0,0,1,0,1
69,1,0,0,0,0,0
70,1,1,0,1,0,0
71,1,1,0,1,0,0
72,1,1,0,1,0,0
73,1,1,0,1,0,0
74,1,1,1,1,0,1
75,1,1,0,1,0,0
76,1,1,0,1,0,1
77,1,1,0,1,0,1
78,0,1,0,1,1,0
79,1,1,0,0,1,0
80,1,0,0,1,0,0
81,0,0,0,1,0,0
82,0,1,0,0,0,0
83,0,1,0,0,0,0
84,0,1,1,1,0,1
85,0,1,0,1,0,1
86,1,1,0,1,0,0
87,1,0,0,0,0,0
88,0,0,0,1,0,0
89,0,0,0,1,0,0
90,1,0,1,1,1,0
91,1,0,0,0,0,0
92,0,1,0,1,1,0
