,1,2,3,4,5,6
1,0,1,1,0,0,1
2,0,0,1,0,1,1
3,0,1,1,0,0,0
4,0,1,1,0,0,0
5,0,0,1,0,0,1
6,0,0,0,0,0,1
7,1,0,1,0,1,1
8,0,0,1,0,0,0
9,0,0,1,0,1,1
10,1,1,1,1,1,0
11,1,0,1,1,0,1
12,1,0,1,1,0,1
13,1,0,1,1,0,0
14,1,0,0,1,0,1
15,0,0,1,1,0,1
16,1,0,0,0,0,1
17,1,0,0,1,0,1
18,0,0,1,1,0,0
19,0,0,1,1,1,1
20,1,0,1,0,0,1
21,1,0,0,1,0,1
22,1,0,1,0,0,1
23,0,0,0,1,0,1
24,1,0,1,1,0,1
25,1,0,0,1,0,1
26,1,0,0,0,0,0
27,0,0,1,0,0,1
28,1,0,0,1,0,1
29,0,0,0,0,0,1
30,1,0,0,0,0,0
31,1,0,1,1,1,1
32,1,1,0,0,1,0
33,1,0,1,0,0,1
34,1,0,0,0,0,0
35,1,0,1,1,1,1
36,1,0,0,0,0,0
37,1,0,0,1,1,0
38,1,1,0,1,1,1
39,1,0,1,1,0,0
40,1,0,0,0,0,0
41,0,0,0,0,1,0
42,1,1,0,0,0,0
43,1,0,0,0,1,0
44,1,0,0,0,1,0
45,1,0,0,0,1,0
46,0,0,1,0,1,0
47,0,1,0,0,0,1
48,0,1,0,0,0,0
49,0,0,0,0,1,1
50,0,1,1,0,0,1
51,1,1,0,0,0,1
52,0,1,0,0,0,0
53,0,1,0,0,1,0
54,0,1,1,0,0,0
55,1,1,0,0,0,1
56,0,0,1,0,1,0
57,0,1,0,1,0,0
58,0,1,0,0,1,1
59,0,1,0,0,0,1
60,0,1,0,0,0,0
61,0,1,0,0,1,1
62,0,1,0,0,1,1
63,1,1,0,1,0,0
64,1,1,1,1,0,1
65,1,0,0,1,0,0
66,1,1,0,0,0,0
67,1,1,0,1,0,1
68,1,0,1,1,0,0
69,1,0,0,0,0,0
70,1,0,0,1,0,1
71,1,0,0,1,0,1
72,1,1,0,1,0,0
73,0,1,0,1,1,0
74,1,0,1,1,0,0
75,0,1,0,1,0,0
76,1,1,0,1,0,0
77,0,0,1,1,0,0
78,1,1,0,0,1,0
79,0,1,0,1,0,0
80,0,0,0,1,0,0
81,0,1,0,0,0,1
82,1,1,1,1,0,1
83,1,1,0,0,1,0
84,0,0,0,0,1,0
85,0,0,0,0,1,0
86,0,0,0,0,1,0
87,0,0,1,0,1,0
88,0,0,0,0,1,0
89,0,1,0,0,1,0
90,1,0,0,1,1,0
91,0,0,0,1,1,0
92,0,1,0,0,1,0
